Vertex1;Vertex2;Cost
22;23;1
10;11;1
18;19;2
23;3;2
5;6;2
21;20;4
4;5;4
8;9;4
14;16;5
15;16;5
23;4;5
17;18;6
18;20;6
7;8;6
16;17;8
13;14;9
20;22;9
12;13;11
7;18;11
9;10;15
Total cost of making SpanningTree: 116
